pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist,ra,dec
"MOA-2010-BLG-117L b","MOA-2010-BLG-117L",1,,0.54000000,,3500.00000000,271.9569700,-25.3446388
"K2-232 b","K2-232",1,11.20900000,0.39800000,,130.72000000,73.7667927,18.6543230
"K2-231 b","K2-231",1,2.50000000,,,321.21500000,289.0918242,-15.7712178
"HATS-39 b","HATS-39",1,17.59813000,0.63000000,,878.52100000,112.4192251,-29.9379163
"HATS-40 b","HATS-40",1,17.71022000,1.59000000,,1342.29000000,100.5712467,-29.7767800
"HATS-41 b","HATS-41",1,14.90797000,9.70000000,,737.66800000,103.5173558,-27.0504156
"HATS-42 b","HATS-42",1,15.69260000,1.88000000,,800.37700000,108.4523991,-33.4373462
"OGLE-2017-BLG-1522L b","OGLE-2017-BLG-1522L",1,,0.75000000,,7490.00000000,270.3193660,-28.4619713
"HD 158996 b","HD 158996",1,,14.00000000,"K5 III",283.65900000,259.9051092,80.1364033
"KPS-1 b","KPS-1",1,11.54527000,1.09000000,"K1 V",262.70600000,165.1671980,64.9638452
"K2-233 b","K2-233",1,1.31500000,0.00755124,"K3",67.50620000,230.4799011,-20.2317975
"K2-233 c","K2-233",1,1.27200000,0.01447322,"K3",67.50620000,230.4799011,-20.2317975
"K2-233 d","K2-233",1,2.36300000,0.03240742,"K3",67.50620000,230.4799011,-20.2317975
"OGLE-2017-BLG-0373L b","OGLE-2017-BLG-0373L",1,,0.40100000,,5915.00000000,269.3294067,-31.9517231
"gam Lib b","gam Lib",1,,1.12600000,"K0 III",47.40170000,233.8818636,-14.7895020
"gam Lib c","gam Lib",1,,5.23100000,"K0 III",47.40170000,233.8818636,-14.7895020
"24 Boo b","24 Boo",1,,0.88300000,"G3 IV",95.98630000,217.1555242,49.8446488
"OGLE-2017-BLG-1434L b","OGLE-2017-BLG-1434L",1,,0.01393834,,860.00000000,268.2804667,-30.2456583
"HATS-43 b","HATS-43",1,13.22662000,0.26100000,,362.27300000,80.5382418,-30.9708179
"HATS-44 b","HATS-44",1,11.96000300,0.56000000,,446.03500000,84.3267559,-27.9725758
"HATS-45 b","HATS-45",1,14.41477400,0.70000000,,772.11000000,101.9942455,-21.9107112
"HATS-46 b","HATS-46",1,10.12172700,0.17300000,,453.80800000,6.7026401,-56.3161021
"HATS-7 b","HATS-7",1,6.31066700,0.12000000,"K2",240.70700000,208.8567465,-21.2078587
"HD 47366 b","HD 47366",1,,2.08200000,"K1 III",84.35520000,99.4200181,-12.9856593
"HD 47366 c","HD 47366",1,,1.52200000,"K1 III",84.35520000,99.4200181,-12.9856593
"NGTS-3 A b","NGTS-3 A",2,16.58932000,2.38000000,"G6 V",743.97200000,94.4447595,-35.7063640
"HD 89345 b","HD 89345",1,7.39794000,0.11000000,,132.34500000,154.6710977,10.1288464
"OGLE-2017-BLG-1140L b","OGLE-2017-BLG-1140L",1,,1.59000000,,,266.8830570,-24.5226669
"K2-239 b","K2-239",1,1.10000000,,"M3.0 V",31.08490000,160.5941265,4.4413751
"K2-239 c","K2-239",1,1.00000000,,"M3.0 V",31.08490000,160.5941265,4.4413751
"K2-239 d","K2-239",1,1.10000000,,"M3.0 V",31.08490000,160.5941265,4.4413751
"K2-240 b","K2-240",1,2.00000000,,"M0.5 V",72.91050000,227.8493710,-17.8754464
"K2-240 c","K2-240",1,1.80000000,,"M0.5 V",72.91050000,227.8493710,-17.8754464
"OGLE-2017-BLG-0482L b","OGLE-2017-BLG-0482L",1,,0.02800000,,5800.00000000,269.0488890,-30.5283604
"K2-237 b","K2-237",1,16.06246934,1.36600000,,314.99500000,253.7688479,-28.7105836
"K2-238 b","K2-238",1,14.57170000,0.86000000,"G2 V",537.96300000,347.7043164,-7.8575592
"OGLE-2014-BLG-1722L b","OGLE-2014-BLG-1722L",1,,0.17400000,,6400.00000000,268.7523800,-31.4690552
