pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist
"TOI-4794 b","TOI-4794",1,14.35870428,0.97000000,,543.00800000
"Kepler-235 d","Kepler-235",1,2.05000000,,,428.01800000
"Kepler-53 d","Kepler-53",1,2.12000000,,,1366.07000000
"Kepler-238 d","Kepler-238",1,3.07000000,,,1798.75000000
"Kepler-240 b","Kepler-240",1,1.37000000,,,746.92700000
"Kepler-241 c","Kepler-241",1,2.57000000,,,
"Kepler-242 c","Kepler-242",1,2.00000000,,,600.24100000
"TOI-4860 b","TOI-4860",1,8.70000000,0.27300000,"M3.5 V",80.14230000
"NGTS-30 b","NGTS-30",1,10.40193409,0.96000000,,238.37700000
"Kepler-244 d","Kepler-244",1,2.31000000,,,1036.49000000
"Kepler-68 b","Kepler-68",2,2.35700000,0.02526521,,144.16600000
"Kepler-249 b","Kepler-249",1,1.09000000,,,190.40100000
"Kepler-254 c","Kepler-254",1,2.15000000,,,1389.48000000
"Kepler-31 c","Kepler-31",1,5.30000000,4.70000000,,1664.64000000
"TOI-4898 b","TOI-4898",1,3.71979540,,,98.59580000
"Kepler-255 d","Kepler-255",1,1.32000000,,,1052.53000000
"Kepler-1666 c","Kepler-1666",1,3.23564749,,,1379.37000000
"TOI-4914 b","TOI-4914",1,12.87000000,0.71422187,,299.89000000
"Kepler-42 c","Kepler-42",1,0.73000000,,"M",40.05950000
"TOI-4930 b","TOI-4930",1,6.93277225,,,413.75700000
"Kepler-750 c","Kepler-750",1,1.62000000,,,1296.02000000
"TOI-4940 b","TOI-4940",1,6.61000000,0.28002532,"G8 V",345.65900000
"Kepler-758 c","Kepler-758",1,1.69000000,,,1502.32000000
"Kepler-760 c","Kepler-760",1,1.48000000,,,792.33600000
"TOI-4961 b","TOI-4961",1,12.34108775,1.80000000,,213.07300000
"Kepler-24 b","Kepler-24",1,2.34800000,0.03505036,,1156.81000000
"Kepler-15 b","Kepler-15",1,10.76000000,0.66000000,,739.41200000
"Kepler-268 c","Kepler-268",1,3.38000000,,,851.87000000
"Kepler-271 c","Kepler-271",1,0.95000000,,,404.54200000
"BD-14 3065 b","BD-14 3065 A",3,21.59000000,12.37000000,,589.42300000
"TOI-4994 b","TOI-4994",1,8.54124329,0.28000000,,329.30400000
"Kepler-273 c","Kepler-273",1,1.98000000,,,713.96400000
"Kepler-171 c","Kepler-171",1,2.56000000,,,863.85500000
"TOI-5005 b","TOI-5005",1,6.25000000,0.10300000,"G2 V",207.89100000
"TOI-5007 b","TOI-5007",1,11.07447293,0.66400000,"M1&plusmn;0.5",203.35200000
"Kepler-732 c","Kepler-732",1,1.27000000,,,174.82600000
"Kepler-80 e","Kepler-80",1,1.60000000,0.01299437,"K5",369.45100000
"TOI-5027 b","TOI-5027",1,10.76062147,2.02000000,,204.42900000
"Kepler-238 b","Kepler-238",1,1.73000000,,,1798.75000000
"Kepler-82 d","Kepler-82",1,1.77000000,,,904.32600000
"Kepler-33 c","Kepler-33",1,3.20000000,,,1209.16000000
"Kepler-32 e","Kepler-32",1,1.50000000,,,323.84700000
"TOI-5076 b","TOI-5076",2,3.48935569,0.05080000,,82.85700000
"TOI-5082.01","TOI-5082",1,2.54811000,,,43.14060000
"Kepler-223 b","Kepler-223",1,2.99000000,0.02328289,,1859.71000000
"Kepler-107 d","Kepler-107",1,0.86000000,0.02422691,,525.99700000
"TOI-5108 b","TOI-5108",1,6.60000000,0.10068326,,130.91900000
"TOI-5110 b","TOI-5110",1,11.98240037,2.90000000,,392.25900000
"Kepler-80 f","Kepler-80",1,1.21000000,,"K5",369.45100000
"TOI-5126 b","TOI-5126",1,4.74000000,,"F V",160.41400000
"TOI-5126 c","TOI-5126",1,3.86000000,,"F V",160.41400000
"Kepler-297 d","Kepler-297",1,32.60000000,,,692.14000000
"TOI-5143 c","TOI-5143",1,16.25302201,,"K V",181.38000000
"Kepler-65 d","Kepler-65",1,1.52000000,,,303.72800000
"TOI-5159 b","TOI-5159",1,1.54732112,,,55.17880000
"TOI-5160 b","TOI-5160",1,2.39729851,,,151.46500000
"TOI-5174 b","TOI-5174",1,5.35100000,,,197.24300000
"Kepler-23 b","Kepler-23",1,1.63800000,0.00805466,,835.75600000
"TOI-5181 A b","TOI-5181 A",2,13.34989601,1.04000000,,480.15500000
"Kepler-26 d","Kepler-26",1,1.07000000,,,335.30700000
"WASP-188 b","WASP-188",1,14.81827249,1.44300000,,675.28100000
"Kepler-148 b","Kepler-148",1,1.80000000,,,791.16300000
"TOI-5205 b","TOI-5205",1,11.60000000,1.08000000,"M4.0",86.44930000
"Kepler-150 e","Kepler-150",1,3.12000000,,,891.09200000
"TOI-5210 b","TOI-5210",1,10.72699453,0.25800000,,302.08600000
"TOI-5218 b","TOI-5218",1,9.86000000,2.06715317,,377.48300000
"Kepler-167 c","Kepler-167",2,1.67400000,,,341.90800000
"Kepler-426 b","Kepler-426",1,12.22000000,0.34000000,"G1 V",843.69500000
"Kepler-80 d","Kepler-80",1,1.53000000,0.02123777,"K5",369.45100000
"TOI-5232 b","TOI-5232",1,12.77823800,2.34000000,,609.38800000
"TOI-5238 b","TOI-5238",1,5.22000000,,,290.64600000
"Kepler-176 d","Kepler-176",1,2.51000000,,,527.32100000
"Kepler-178 c","Kepler-178",1,2.88000000,,,716.02500000
"Kepler-186 b","Kepler-186",1,1.07000000,,"M1",177.59400000
"TOI-5261 b","TOI-5261",1,11.60129502,11.49000000,,377.05400000
"Kepler-207 c","Kepler-207",1,1.50000000,,,875.51900000
"Kepler-62 e","Kepler-62",1,1.61000000,0.11300000,"K2 V",300.87400000
"WASP-154 b","WASP-154",1,10.76062147,0.62600000,,215.50100000
"Kepler-33 e","Kepler-33",1,4.02000000,,,1209.16000000
"TOI-5292 A b","TOI-5292 A",2,12.64373023,1.29900000,"M0&plusmn;0.5",337.09500000
"TOI-5293 A b","TOI-5293 A",2,11.90000000,0.54000000,"M3+/-1",162.22900000
"Kepler-218 d","Kepler-218",1,2.66000000,,,656.38000000
"TOI-5300 b","TOI-5300",1,9.86390302,0.60000000,"K4 V",162.51000000
"TOI-5301 b","TOI-5301",1,13.09208946,3.72000000,,629.16100000
"Kepler-219 d","Kepler-219",1,2.81000000,,,787.07000000
"Kepler-223 e","Kepler-223",1,4.60000000,0.01510241,,1859.71000000
"TOI-5319 b","TOI-5319",1,2.83000000,,"M",61.17100000
"TOI-5322 b","TOI-5322",1,16.61170940,0.57900000,,476.89900000
"Kepler-224 b","Kepler-224",1,1.39000000,,,782.08800000
"TOI-5335 b","TOI-5335",1,4.02422162,,,331.28900000
"Kepler-228 b","Kepler-228",1,1.53000000,,,1644.61000000
"TOI-5340 b","TOI-5340",1,15.07607904,0.85000000,,532.62900000
"TOI-5344 b","TOI-5344",1,10.60369574,0.41200000,,138.36700000
"Kepler-235 e","Kepler-235",1,2.22000000,,,428.01800000
"TOI-5349 b","TOI-5349",1,10.20000000,0.40000000,"M1+/-0.5",188.33600000
"TOI-5350 b","TOI-5350",1,12.41955062,6.59000000,,277.41900000
"Kepler-53 c","Kepler-53",1,3.17000000,0.11326867,,1366.07000000
"Kepler-238 c","Kepler-238",1,2.39000000,,,1798.75000000
"TOI-5380 b","TOI-5380",1,3.48093238,,,286.78100000
"Kepler-244 c","Kepler-244",1,2.05000000,,,1036.49000000
"WASP-197 b","WASP-197",1,14.44837612,1.26900000,,483.67500000
"TOI-5386 A b","TOI-5386 A",2,14.70618268,0.48800000,,394.48600000
"TOI-5388.01","TOI-5388",1,0.99000000,0.00692197,"M3.0 V",18.52260000
